path,source,drone_present,gt_box_h_px,size_bin,lighting,background,backlit,exposure_issue,appearance_color,appearance_shape,notes
data/images_eval/antiuav_vis/20190925_101846_1_1/000001.jpg,antiuav_vis,1,122.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000021.jpg,antiuav_vis,1,114.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000041.jpg,antiuav_vis,1,118.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000061.jpg,antiuav_vis,1,115.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000081.jpg,antiuav_vis,1,115.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000101.jpg,antiuav_vis,1,118.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000121.jpg,antiuav_vis,1,121.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000141.jpg,antiuav_vis,1,138.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000161.jpg,antiuav_vis,1,139.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000181.jpg,antiuav_vis,1,134.00,Large,cloudy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000621.jpg,antiuav_vis,1,73.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000641.jpg,antiuav_vis,1,89.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000661.jpg,antiuav_vis,1,88.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000681.jpg,antiuav_vis,1,82.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000701.jpg,antiuav_vis,1,83.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000721.jpg,antiuav_vis,1,85.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000741.jpg,antiuav_vis,1,93.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000761.jpg,antiuav_vis,1,87.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000781.jpg,antiuav_vis,1,89.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000801.jpg,antiuav_vis,1,81.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000821.jpg,antiuav_vis,1,77.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000841.jpg,antiuav_vis,1,83.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000861.jpg,antiuav_vis,1,78.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000881.jpg,antiuav_vis,1,83.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000901.jpg,antiuav_vis,1,75.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000921.jpg,antiuav_vis,1,78.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000941.jpg,antiuav_vis,1,82.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000961.jpg,antiuav_vis,1,77.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_101846_1_1/000981.jpg,antiuav_vis,1,80.00,Medium,hazy,,no,none,,,
data/images_eval/antiuav_vis/20190925_133630_1_6/000001.jpg,antiuav_vis,1,52.00,Medium,cloudy,,yes,none,,,
data/images_eval/dronevsbird/drone/DTR (10835).jpg,dronevsbird_drone,1,515.74,Large,day,,no,none,,,
